PLAIN_CONFIGURATION,MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,bu_minsim,bu_minsize,st_minprio,st_priocalc,cd_labsim,cd_maxleaves,cd_structsim1,cd_structsim2,xy_minsim,
HybridGumtree-bu_minsize-700-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,700,5,size,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-1-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,14,0,0,,800,1,size,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,800,2,size,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,800,3,size,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,800,4,size,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,8,0,0,,800,5,size,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-1-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,14,0,0,,900,1,size,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,13,0,0,,900,2,size,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,13,0,0,,900,3,size,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,13,0,0,,900,4,size,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,900,5,size,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-1-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,14,0,0,,1000,1,size,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,1000,2,size,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,1000,3,size,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,1000,4,size,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,1000,5,size,,,,,,
